energy_densityc2,pressurec2
7.061980e+12,1.177033e+10
7.094637e+12,1.184283e+10
7.127429e+12,1.191624e+10
7.160389e+12,1.199010e+10
7.193501e+12,1.206521e+10
7.226764e+12,1.214005e+10
7.260168e+12,1.221535e+10
7.293740e+12,1.229113e+10
7.327469e+12,1.236813e+10
7.361337e+12,1.244484e+10
7.395378e+12,1.252209e+10
7.429577e+12,1.260060e+10
7.463917e+12,1.267881e+10
7.498431e+12,1.275757e+10
7.533106e+12,1.283782e+10
7.567942e+12,1.291717e+10
7.602937e+12,1.299741e+10
7.638080e+12,1.307878e+10
7.673399e+12,1.316014e+10
7.708884e+12,1.324188e+10
7.744532e+12,1.332484e+10
7.780328e+12,1.340767e+10
7.816307e+12,1.349095e+10
7.852450e+12,1.357553e+10
7.888763e+12,1.365985e+10
7.925243e+12,1.374586e+10
7.961874e+12,1.383094e+10
7.998692e+12,1.391691e+10
8.035679e+12,1.400415e+10
8.072839e+12,1.409127e+10
8.110171e+12,1.417949e+10
8.147673e+12,1.426775e+10
8.185332e+12,1.435714e+10
8.223184e+12,1.444644e+10
8.261211e+12,1.453625e+10
8.299413e+12,1.462731e+10
8.337791e+12,1.471836e+10
8.376348e+12,1.481057e+10
8.415083e+12,1.490276e+10
8.453995e+12,1.499613e+10
8.493072e+12,1.508941e+10
8.532345e+12,1.518395e+10
8.571801e+12,1.527846e+10
8.611440e+12,1.537418e+10
8.651261e+12,1.546982e+10
8.691267e+12,1.556666e+10
8.731459e+12,1.566363e+10
8.771834e+12,1.576183e+10
8.812398e+12,1.585987e+10
8.853150e+12,1.595916e+10
8.894088e+12,1.605879e+10
8.935217e+12,1.615918e+10
8.976536e+12,1.626027e+10
9.018047e+12,1.636156e+10
9.059748e+12,1.646392e+10
9.101643e+12,1.656640e+10
9.143732e+12,1.667020e+10
9.186014e+12,1.677455e+10
9.228493e+12,1.687890e+10
9.271169e+12,1.698464e+10
9.314040e+12,1.709045e+10
9.357111e+12,1.719737e+10
9.400382e+12,1.730494e+10
9.443853e+12,1.741274e+10
9.487522e+12,1.752160e+10
9.531396e+12,1.763121e+10
9.575472e+12,1.774105e+10
9.619750e+12,1.785203e+10
9.664235e+12,1.796363e+10
9.708926e+12,1.807554e+10
9.753821e+12,1.818861e+10
9.798926e+12,1.830224e+10
9.844240e+12,1.841625e+10
9.889763e+12,1.853138e+10
9.935518e+12,1.864722e+10
9.981461e+12,1.876470e+10
1.002762e+13,1.888060e+10
1.007399e+13,1.899863e+10
1.012058e+13,1.911733e+10
1.016737e+13,1.924359e+10
1.021439e+13,1.935650e+10
1.026165e+13,1.947751e+10
1.030910e+13,1.959909e+10
1.035677e+13,1.972084e+10
1.040466e+13,1.984429e+10
1.045278e+13,1.996817e+10
1.050112e+13,2.009283e+10
1.054968e+13,2.021835e+10
